"Phillips, Tom",CW,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,15,,1,,1
"Burgoyne, Shaun",HW,2,2,-,-,-,-,,-,-,-,,,-,-,,-,,-,-,,,,,,13,,1,,1
"Byrne-Jones, Darcy",PA,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,17,,1,,1
"Saad, Adam",ES,2,2,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,17,,1,,1
"Hill, Bradley",SK,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,1,-,-,,,,,,17,,,2,2
"Davies-Uniacke, Luke",NM,2,,,,,,,,-,-,,-,1,-,-,,-,-,1,,,,,,9,,,2,2
"Ladhams, Peter",PA,2,,,,,,,1,-,-,1,-,-,,,,,-,-,,,,,,8,,,2,2
"Swallow, David",GC,2,-,,-,-,-,-,1,1,-,-,-,,-,-,,-,-,-,,,,,,15,,,2,2
"Tucker, Darcy",FR,2,-,-,-,1,1,-,-,-,,,,,,,,,,,,,,,,8,,,2,2
"Florent, Oliver",SY,2,-,-,1,-,-,-,-,-,-,-,,-,-,-,-,1,-,-,,,,,,17,,,2,2
"Moore, Dylan",HW,1,,,,,,,,,,,,,,,,-,-,1,,,,,,3,,,1,1
"Edwards, Shane",RI,1,-,-,-,-,-,,,,,,,,,,,,,1,,,,,,6,,,1,1
"Ross, Sebastian",SK,1,-,-,-,-,-,-,-,-,,,,-,-,-,,-,-,1,,,,,,14,,,1,1
"Noble, John",CW,1,-,-,-,-,,,-,-,-,-,-,-,-,-,-,,1,-,,,,,,15,,,1,1
"Ebert, Brad",PA,1,-,-,-,-,-,-,,-,-,,,,-,-,,,1,-,,,,,,12,,,1,1
"Robinson, Mitch",BL,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,1,-,-,,,,,,17,,,1,1
"Crouch, Brad",AD,1,-,-,-,-,-,-,-,-,,,,,,,-,1,-,-,,,,,,12,,,1,1
"Amon, Karl",PA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,-,,,,,,17,,,1,1
"Weitering, Jacob",CA,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,1,-,-,-,,,,,,17,,,1,1
"Clarke, Ryan",SY,1,,,,,-,-,-,-,-,,,,,-,1,-,-,-,,,,,,10,,,1,1
"Aarts, Jake",RI,1,,,,,-,-,-,-,-,-,-,-,-,-,1,,-,-,,,,,,13,,,1,1
"Sexton, Alex",GC,1,,-,-,-,-,-,-,-,-,-,,-,,1,,-,-,-,,,,,,14,,,1,1
"Houli, Bachar",RI,1,,-,-,-,-,,,,,,,,-,1,-,,-,-,,,,,,9,,,1,1
"Daniher, Joe",ES,1,,,,,,,,,,,,,,1,-,,-,-,,,,,,4,,,1,1
"Clurey, Tom",PA,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,-,,,,,,,16,,,1,1
"Fisher, Zac",CA,1,-,,,,,,,,,,-,-,1,-,-,-,-,,,,,,,8,,,1,1
"Vlastuin, Nick",RI,1,-,-,-,-,-,-,-,-,,-,-,1,-,-,-,,-,-,,,,,,16,,,1,1
"Ryan, Liam",WC,1,-,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,-,,,,,,17,,,1,1
"Williams, Bailey",WB,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,-,-,-,,,,,,17,,,1,1
"Newnes, Jack",CA,1,-,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,-,,,,,,17,,,1,1
"Fritsch, Bayley",ME,1,-,-,,-,-,-,-,-,-,-,-,1,-,,-,-,-,-,,,,,,16,,,1,1
"Bews, Jed",GE,1,,-,-,-,-,-,-,-,-,-,-,1,-,-,,-,-,-,,,,,,16,,,1,1
"Rampe, Dane",SY,1,-,-,-,-,-,-,-,-,-,-,,1,,,,,,,,,,,,11,,,1,1
"Weller, Lachie",GC,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,-,-,-,,,,,,17,,,1,1
"Brayshaw, Angus",ME,1,-,-,,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,,,14,,,1,1
"Jones, Liam",CA,1,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,-,,,,,,17,,,1,1
"Hipwood, Eric",BL,1,-,-,-,-,-,-,-,-,-,-,1,-,-,,-,-,-,-,,,,,,17,,,1,1
"Serong, Caleb",FR,1,,,,-,-,-,-,-,1,,-,-,-,-,-,-,-,-,,,,,,14,,,1,1
"Williams, Zac",GW,1,,-,-,-,,,,,1,-,,-,-,-,-,,-,-,,,,,,11,,,1,1
"Stewart, Tom",GE,1,-,-,-,-,,,,-,1,-,-,-,-,-,,-,-,-,,,,,,14,,,1,1
"Hall, Aaron",NM,1,-,-,-,-,-,-,-,-,1,-,-,,,-,,-,-,-,,,,,,15,,,1,1
"Cameron, Charlie",BL,1,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-,-,-,,,,,,17,,,1,1
"Georgiades, Mitch",PA,1,-,,,,,,,-,1,-,-,-,-,,,,,,,,,,,7,,,1,1
"Balta, Noah",RI,1,,,,,-,-,-,-,1,-,-,-,-,-,-,,-,-,,,,,,13,,,1,1
"Smith, Brodie",AD,1,-,-,-,-,-,-,-,1,-,,-,-,-,,-,-,-,-,,,,,,16,,,1,1
"Ryder, Paddy",SK,1,-,-,-,,,,-,1,-,-,,-,-,-,,-,-,-,,,,,,13,,,1,1
"Polec, Jared",NM,1,-,-,-,-,-,-,-,1,,-,-,,,,,-,-,-,,,,,,13,,,1,1
"Bailey, Zac",BL,1,-,-,-,-,-,-,1,-,-,-,-,-,-,,-,-,-,-,,,,,,17,,,1,1
"Farrell, Kane",PA,1,,,,-,-,1,-,-,-,-,-,-,,,,-,-,,,,,,,11,,,1,1
"Rankine, Izak",GC,1,,,,,,1,-,-,-,-,-,-,-,-,,-,-,-,,,,,,12,,,1,1
"Keays, Ben",AD,1,,-,-,-,-,1,-,-,-,-,-,-,-,,-,-,-,-,,,,,,16,,,1,1
"Ablett, Gary",GE,1,-,-,-,-,-,1,-,,,,,,,,,,,-,,,,,,8,,,1,1
"Himmelberg, Harry",GW,1,-,-,-,-,1,-,-,-,-,-,,-,-,-,-,-,-,,,,,,,16,,,1,1
"Wood, Easton",WB,1,-,,,,1,-,-,-,-,-,-,-,-,-,,,,-,,,,,,12,,,1,1
"Carlisle, Jake",SK,1,,-,-,1,-,-,-,-,-,-,-,,-,,,,,-,,,,,,12,,,1,1
"Hartlett, Hamish",PA,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,17,,,1,1
"King, Ben",GC,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,17,,,1,1
"Docherty, Sam",CA,1,-,1,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,,,,,,16,,,1,1
"Shiels, Liam",HW,1,1,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,,,,,,16,,,1,1
"Dunstan, Luke",SK,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1
"de Boer, Matt",GW,1,1,-,-,-,-,-,-,-,-,,,,,-,-,-,-,,,,,,,13,,,1,1
