"MATCH_ID","SEASON_ID","GROUP_ROUND_NO","MATCH_DATE","MATCH_TIME","MATCH_TIME_MELB","MATCH_TYPE","FINALS_DESC","HOME_SQUAD_ID","HOME_SQUAD","HOME_SCORE","HOME_SQUAD_TRAVEL","AWAY_SQUAD_ID","AWAY_SQUAD","AWAY_SCORE","AWAY_SQUAD_TRAVEL","VENUE_NAME","VENUE_STATE","VENUE_LOCATION","ATTENDANCE"
199517841,2019,4,"2019-04-13","18:10","20:10","Regular Season","",150,"West Coast Eagles",69,"L",60,"Fremantle",56,"L","Optus Stadium","WA","Perth",58219
199517281,2019,4,"2019-04-13","19:25","19:25","Regular Season","",100,"North Melbourne",71,"L",10,"Adelaide Crows",59,"I","Marvel Stadium","VIC","Melbourne",17207
199518434,2019,4,"2019-04-14","14:40","14:40","Regular Season","",1000,"Gold Coast Suns",59,"L",30,"Carlton",57,"I","Metricon Stadium","QLD","Gold Coast",14176
199516802,2019,4,"2019-04-14","15:20","15:20","Regular Season","",130,"St Kilda",74,"L",80,"Hawthorn",69,"L","Marvel Stadium","VIC","Melbourne",35883
199525394,2019,5,"2019-04-18","19:35","19:35","Regular Season","",20,"Brisbane Lions",61,"L",40,"Collingwood",123,"I","Gabba","QLD","Brisbane",34017
199525475,2019,5,"2019-04-19","16:20","16:20","Regular Season","",100,"North Melbourne",58,"L",50,"Essendon",116,"L","Marvel Stadium","VIC","Melbourne",48278
199526035,2019,5,"2019-04-19","18:10","20:10","Regular Season","",150,"West Coast Eagles",53,"L",110,"Port Adelaide",95,"I","Optus Stadium","WA","Perth",49290
199533296,2019,5,"2019-04-20","13:45","13:45","Regular Season","",1010,"GWS Giants",82,"I",60,"Fremantle",106,"I","UNSW Canberra Oval","ACT","Canberra",11277
199535184,2019,5,"2019-04-20","16:35","16:35","Regular Season","",90,"Melbourne",55,"L",130,"St Kilda",95,"L","MCG","VIC","Melbourne",35558
199534704,2019,5,"2019-04-20","19:25","19:25","Regular Season","",120,"Richmond",89,"L",160,"Sydney Swans",67,"I","Marvel Stadium","VIC","Melbourne",40053
199535745,2019,5,"2019-04-21","13:10","13:10","Regular Season","",140,"Western Bulldogs",57,"L",30,"Carlton",101,"L","Marvel Stadium","VIC","Melbourne",35069
199535105,2019,5,"2019-04-21","16:10","16:40","Regular Season","",10,"Adelaide Crows",119,"L",1000,"Gold Coast Suns",46,"I","Adelaide Oval","SA","Adelaide",40847
199532626,2019,5,"2019-04-22","15:20","15:20","Regular Season","",80,"Hawthorn",90,"L",70,"Geelong Cats",113,"L","MCG","VIC","Melbourne",66347
199542896,2019,6,"2019-04-24","19:35","19:35","Regular Season","",120,"Richmond",85,"L",90,"Melbourne",42,"L","MCG","VIC","Melbourne",72774
199541297,2019,6,"2019-04-25","15:20","15:20","Regular Season","",50,"Essendon",69,"L",40,"Collingwood",73,"L","MCG","VIC","Melbourne",92241
199544418,2019,6,"2019-04-26","19:20","19:50","Regular Season","",110,"Port Adelaide",88,"L",100,"North Melbourne",72,"I","Adelaide Oval","SA","Adelaide",36099
199543011,2019,6,"2019-04-27","13:45","13:45","Regular Season","",1000,"Gold Coast Suns",62,"L",20,"Brisbane Lions",111,"L","Metricon Stadium","QLD","Gold Coast",13694
199541379,2019,6,"2019-04-27","16:35","16:35","Regular Season","",130,"St Kilda",68,"L",10,"Adelaide Crows",97,"I","Marvel Stadium","VIC","Melbourne",28421
199543859,2019,6,"2019-04-27","18:10","20:10","Regular Season","",60,"Fremantle",88,"L",140,"Western Bulldogs",69,"I","Optus Stadium","WA","Perth",43732
199540899,2019,6,"2019-04-27","19:25","19:25","Regular Season","",160,"Sydney Swans",79,"L",1010,"GWS Giants",120,"L","SCG","NSW","Sydney",29780
199549008,2019,6,"2019-04-28","15:20","15:20","Regular Season","",80,"Hawthorn",93,"I",30,"Carlton",88,"I","University of Tasmania Stadium","TAS","Launceston",15888
199550528,2019,6,"2019-04-28","16:40","16:40","Regular Season","",70,"Geelong Cats",104,"L",150,"West Coast Eagles",46,"I","GMHBA Stadium","VIC","Geelong",28085
199559203,2019,7,"2019-05-03","19:50","19:50","Regular Season","",40,"Collingwood",108,"L",110,"Port Adelaide",69,"I","Marvel Stadium","VIC","Melbourne",37559
